═══ CARD INFORMATION ═══
Card Name,Sylveon VMAX (Alternate Art Secret)
Set Name,SWSH07: Evolving Skies
Card Number,212/203
Rarity,Secret Rare
TCGPlayer ID,246704
Current Market Price,$398.97
Last Updated,2025-12-01T10:54:31.057Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Near Mint,$398.97,117
Regular,Lightly Played,$283.76,16
Regular,Moderately Played,$258.09,5
Regular,Damaged,$192,4
Regular,Heavily Played,$201.25,1
Holofoil,Near Mint,$398.97,117
Holofoil,Lightly Played,$283.76,16
Holofoil,Moderately Played,$258.09,5
Holofoil,Damaged,$192,4
Holofoil,Heavily Played,$201.25,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:57:58.019Z,Near Mint,$227.89,0,Interpolated
2024-12-01T21:57:58.019Z,Lightly Played,$183.98,0,Interpolated
2024-12-01T21:57:58.019Z,Moderately Played,$136.39,0,Interpolated
2024-12-01T21:57:58.019Z,Damaged,$93.95,0,Interpolated
2024-12-01T21:57:58.019Z,Heavily Played,$94.99,0,Interpolated
2024-12-02T21:57:58.019Z,Near Mint,$227.89,0,Interpolated
2024-12-02T21:57:58.019Z,Lightly Played,$183.98,0,Interpolated
2024-12-02T21:57:58.019Z,Moderately Played,$136.39,0,Interpolated
2024-12-02T21:57:58.019Z,Damaged,$93.95,0,Interpolated
2024-12-02T21:57:58.019Z,Heavily Played,$94.99,0,Interpolated
2024-12-03T21:57:58.019Z,Near Mint,$227.89,0,Interpolated
2024-12-03T21:57:58.019Z,Lightly Played,$183.98,0,Interpolated
2024-12-03T21:57:58.019Z,Moderately Played,$136.39,0,Interpolated
2024-12-03T21:57:58.019Z,Damaged,$93.95,0,Interpolated
2024-12-03T21:57:58.019Z,Heavily Played,$94.99,0,Interpolated
2024-12-04T21:57:58.019Z,Near Mint,$227.89,0,Interpolated
2024-12-04T21:57:58.019Z,Lightly Played,$183.98,0,Interpolated
2024-12-04T21:57:58.019Z,Moderately Played,$136.39,0,Interpolated
2024-12-04T21:57:58.019Z,Damaged,$93.95,0,Interpolated
2024-12-04T21:57:58.019Z,Heavily Played,$94.99,0,Interpolated
2024-12-05T21:57:58.019Z,Near Mint,$227.89,0,Interpolated
2024-12-05T21:57:58.019Z,Lightly Played,$183.98,0,Interpolated
2024-12-05T21:57:58.019Z,Moderately Played,$136.39,0,Interpolated
